Filename,Z3,RInGen,Collab
tip2015_nat_lt_irreflexive.smt2,80,40,80
prod_prop_48.smt2,600000,600000,600000
false_regexp_find6.smt2,1200000,600000,1200000
prod_prop_18.smt2,600000,600000,6840
false_productive_use_of_failure_len_bs.smt2,300,40,330
tip2015_regexp_PlusIdempotent.smt2,1200000,600000,1200000
tip2015_bin_distrib.smt2,1200000,600000,1200000
false_productive_use_of_failure_drop_idem.smt2,3210,50,960
prod_prop_49.smt2,600000,600000,28600
tip2015_sort_nat_ISortSorts.smt2,600000,600000,15520
tip2015_regexp_RecNil.smt2,600000,2910,600000
isaplanner_prop_59.smt2,600000,90,4450
tip2015_mccarthy91_M2.smt2,600000,600000,600000
false_productive_use_of_failure_drop_invol.smt2,2900,40,910
prod_prop_11.smt2,600000,600000,27870
isaplanner_prop_17.smt2,520,50,530
isaplanner_prop_47.smt2,600000,600000,20320
isaplanner_prop_23.smt2,600000,40,1170
isaplanner_prop_08.smt2,600000,40,970
tip2015_sort_nat_ISortCount.smt2,600000,600000,600000
tip2015_sort_NStoogeSort2IsSort.smt2,600000,600000,285540
isaplanner_prop_49.smt2,600000,50,1010
prod_prop_27.smt2,600000,600000,31930
tip2015_sort_NStoogeSort2Sorts.smt2,600000,600000,600000
tip2015_sort_nat_NStoogeSortCount.smt2,600000,600000,600000
isaplanner_prop_34.smt2,600000,40,960
tip2015_nat_boring_gt_asymmetric.smt2,600000,40,1100
prod_prop_02.smt2,600000,600000,5270
tip2015_nat_boring_max_min_abs.smt2,600000,40,940
false_productive_use_of_failure_drop_inj1.smt2,130,40,140
false_queue2_QueueR.smt2,600000,420580,600000
false_graph_p7.smt2,600000,2950,5740
tip2015_list_Interleave.smt2,600000,50,3100
isaplanner_prop_57.smt2,600000,7050,8130
tip2015_nat_acc_plus_comm.smt2,600000,600000,600000
isaplanner_prop_29.smt2,600000,7040,8590
false_regexp_find4.smt2,1200000,11380,1200000
tip2015_sort_nat_StoogeSortCount.smt2,600000,600000,600000
isaplanner_prop_11.smt2,4010,40,3550
isaplanner_prop_51.smt2,600000,7030,8440
isaplanner_prop_68.smt2,600000,600000,600000
tip2015_nat_pow_pow.smt2,600000,600000,600000
tip2015_sort_nat_StoogeSortSorts.smt2,600000,600000,600000
tip2015_nat_acc_plus_assoc.smt2,600000,600000,600000
tip2015_bin_s.smt2,1200000,600000,1200000
isaplanner_prop_40.smt2,530,2880,550
tip2015_sort_nat_StoogeSort2Sorts.smt2,600000,590340,600000
false_productive_use_of_failure_drop_inj2.smt2,780,40,900
tip2015_weird_nat_add3_spec.smt2,600000,600000,600000
tip2015_sort_nat_BSortSorts.smt2,8090,2930,4160
tip2015_bin_nat_plus_assoc.smt2,1200000,600000,1200000
isaplanner_prop_01.smt2,600000,50,1060
tip2015_sort_ISortCount.smt2,600000,600000,600000
tip2015_weird_nat_mul3_spec.smt2,600000,600000,600000
tip2015_weird_nat_mul3_assoc2.smt2,600000,600000,600000
tip2015_nat_min_max_abs.smt2,600000,40,980
tip2015_weird_nat_mul3_comm13.smt2,600000,600000,600000
tip2015_bin_times_assoc.smt2,1200000,600000,1200000
prod_prop_46.smt2,600000,11520,7960
false_productive_use_of_failure_rot_inj0.smt2,130,50,150
tip2015_nat_boring_ge_trans.smt2,600000,40,1600
