Filename,Z3,RInGen,Collab
isaplanner_prop_80.smt2,600000,600000,40900
tip2015_weird_nat_mul3_rot.smt2,600000,600000,600000
tip2015_regexp_PlusAssociative.smt2,1200000,600000,1200000
tip2015_weird_nat_add3acc_comm13.smt2,600000,600000,600000
tip2015_sort_nat_NMSortTDCount.smt2,600000,600000,600000
tip2015_nat_acc_alt_mul_comm.smt2,600000,600000,182610
tip2015_weird_nat_add3_rot.smt2,600000,600000,600000
false_graph_t5.smt2,600000,600000,600000
false_regexp_koen.smt2,1200000,600000,1200000
prod_prop_41.smt2,600000,600000,112960
false_regexp_find5.smt2,1200000,600000,1200000
false_regexp_kfind3.smt2,600000,600000,600000
isaplanner_prop_30.smt2,600000,600000,600000
prod_prop_47.smt2,600000,600000,600000
tip2015_propositional_AndIdempotent.smt2,600000,600000,600000
false_productive_use_of_failure_union_comm.smt2,18570,80,970
false_regexp_deluxe_koen.smt2,600000,600000,600000
tip2015_relaxedprefix_is_prefix_4.smt2,600000,600000,600000
tip2015_int_mul_ident_left.smt2,600000,600000,600000
false_graph_p5.smt2,600000,600000,600000
tip2015_int_add_inv_right.smt2,1200000,600000,1200000
tip2015_sort_BSortIsSort.smt2,600000,600000,600000
tip2015_sort_nat_MSortBU2Sorts.smt2,600000,600000,600000
isaplanner_prop_31.smt2,600000,600000,600000
isaplanner_prop_13.smt2,600000,600000,600000
false_hotel_key_safe0.smt2,1200000,600000,1200000
isaplanner_prop_48.smt2,600000,600000,8130
false_regexp_kfind4.smt2,600000,600000,600000
tip2015_sort_ISortSorts.smt2,600000,600000,52160
isaplanner_prop_28.smt2,600000,600000,600000
tip2015_nat_boring_min_idem.smt2,180,600000,190
tip2015_sort_nat_NStoogeSortSorts.smt2,600000,600000,600000
tip2015_sort_nat_BSortCount.smt2,600000,600000,600000
false_hotel_key_safe1.smt2,1200000,1170,547910
false_queue1_QueueL.smt2,600000,600000,600000
isaplanner_prop_63.smt2,600000,600000,600000
tip2015_sort_nat_HSortIsSort.smt2,600000,600000,37920
isaplanner_prop_72.smt2,600000,600000,44420
false_graph_p11.smt2,600000,600000,600000
prod_prop_38.smt2,600000,600000,22300
tip2015_sort_nat_NStoogeSort2Count.smt2,600000,600000,600000
false_productive_use_of_failure_rot_bogus.smt2,443150,1080,2190
tip2015_sort_TSortSorts.smt2,600000,600000,600000
isaplanner_prop_22.smt2,600000,600000,600000
tip2015_sort_NStoogeSortCount.smt2,600000,600000,32920
tip2015_sort_nat_MSortTDIsSort.smt2,600000,600000,600000
tip2015_sort_MSortTDCount.smt2,600000,600000,19660
isaplanner_prop_21.smt2,600000,600000,600000
false_productive_use_of_failure_union_idem.smt2,600000,600000,54250
tip2015_list_append_inj_1.smt2,600000,600000,600000
tip2015_list_nat_append_inj_2.smt2,600000,600000,600000
grammars_packrat_unambigPackrat.smt2,1200000,600000,1200000
tip2015_weird_nat_mul3acc_comm13.smt2,600000,600000,600000
false_productive_use_of_failure_rot_uhhhw2.smt2,1330,40,1030
isaplanner_prop_54.smt2,600000,600000,600000
grammars_simp_expr_unambig2.smt2,600000,600000,600000
false_regexp_deluxe_Conj0.smt2,600000,600000,600000
